date,week,year,carrier,route,buses,passengers,date_parsed,month,quarter,week_of_year,day_of_year,month_name
22/2 - 26/2,Week 8,2021,Greyhound,intercity,33.0,831.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,Academy,commuter,32.0,577.0,2021-02-22,2.0,1.0,8,53.0,February
22/2 - 26/2,Week 8,2021,Lakeland,commuter,12.0,273.0,2021-02-22,2.0,1.0,8,53.0,February
2/3 - 5/3,Week 9,2021,HCEE - Community,commuter,71.0,1171.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Peter Pan/Bonanza,intercity,9.0,247.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,TransBridge,commuter,12.0,353.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Coach USA,commuter,83.0,1621.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Trailways,intercity,10.0,232.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Lakeland,commuter,12.0,291.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Martz,commuter,13.0,498.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Greyhound,intercity,35.0,976.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,Academy,commuter,32.0,577.0,2021-03-02,3.0,1.0,9,61.0,March
2/3 - 5/3,Week 9,2021,NJ Transit,commuter,2095.0,29104.0,2021-03-02,3.0,1.0,9,61.0,March
8/3 - 12/3,Week 10,2021,HCEE - Community,commuter,82.0,1212.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Peter Pan/Bonanza,intercity,10.0,281.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,TransBridge,commuter,12.0,353.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Coach USA,commuter,83.0,1649.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Trailways,intercity,11.0,264.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,NJ Transit,commuter,2089.0,28670.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Martz,commuter,14.0,474.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Greyhound,intercity,35.0,976.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Academy,commuter,36.0,728.0,2021-03-08,3.0,1.0,10,67.0,March
8/3 - 12/3,Week 10,2021,Lakeland,commuter,12.0,299.0,2021-03-08,3.0,1.0,10,67.0,March
15/3 - 19/3,Week 11,2021,Coach USA,commuter,84.0,1635.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,HCEE - Community,commuter,87.0,1217.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,Peter Pan/Bonanza,intercity,10.0,325.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,TransBridge,commuter,12.0,358.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,Trailways,intercity,11.0,268.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,Academy,commuter,36.0,728.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,NJ Transit,commuter,2124.0,27807.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,Martz,commuter,14.0,494.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,Greyhound,intercity,36.0,1077.0,2021-03-15,3.0,1.0,11,74.0,March
15/3 - 19/3,Week 11,2021,Lakeland,commuter,12.0,292.0,2021-03-15,3.0,1.0,11,74.0,March
22/3 - 26/3,Week 12,2021,HCEE - Community,commuter,89.0,1240.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Peter Pan/Bonanza,intercity,12.0,389.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,TransBridge,commuter,12.0,354.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Coach USA,commuter,84.0,1666.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Trailways,intercity,11.0,268.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,NJ Transit,commuter,2031.0,27453.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Martz,commuter,14.0,505.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Greyhound,intercity,37.0,1142.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Academy,commuter,36.0,667.0,2021-03-22,3.0,1.0,12,81.0,March
22/3 - 26/3,Week 12,2021,Lakeland,commuter,13.0,305.0,2021-03-22,3.0,1.0,12,81.0,March
29/3 - 2/4,Week 13,2021,Coach USA,commuter,84.0,1626.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,HCEE - Community,commuter,89.0,1234.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,Peter Pan/Bonanza,intercity,18.0,620.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,TransBridge,commuter,12.0,374.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,Trailways,intercity,13.0,371.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,Lakeland,commuter,13.0,297.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,NJ Transit,commuter,2120.0,28648.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,Martz,commuter,14.0,516.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,Greyhound,intercity,40.0,1310.0,2021-03-29,3.0,1.0,13,88.0,March
29/3 - 2/4,Week 13,2021,Academy,commuter,36.0,644.0,2021-03-29,3.0,1.0,13,88.0,March
5/4 - 9/4,Week 14,2021,HCEE - Community,commuter,89.0,1234.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Peter Pan/Bonanza,intercity,16.0,518.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,TransBridge,commuter,12.0,369.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Coach USA,commuter,83.0,1748.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Trailways,intercity,15.0,381.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Lakeland,commuter,14.0,283.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,NJ Transit,commuter,2226.0,30200.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Martz,commuter,14.0,498.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Greyhound,intercity,44.0,1343.0,2021-04-05,4.0,2.0,14,95.0,April
5/4 - 9/4,Week 14,2021,Academy,commuter,36.0,628.0,2021-04-05,4.0,2.0,14,95.0,April
12/4 - 16/4,Week 15,2021,HCEE - Community,commuter,84.0,1272.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Peter Pan/Bonanza,intercity,16.0,399.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,TransBridge,commuter,12.0,357.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Coach USA,commuter,84.0,1740.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Trailways,intercity,13.0,336.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Lakeland,commuter,14.0,298.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,NJ Transit,commuter,2247.0,29680.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Martz,commuter,14.0,509.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Greyhound,intercity,43.0,1249.0,2021-04-12,4.0,2.0,15,102.0,April
12/4 - 16/4,Week 15,2021,Academy,commuter,36.0,628.0,2021-04-12,4.0,2.0,15,102.0,April
19/4 - 23/4,Week 16,2021,HCEE - Community,commuter,93.0,1275.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,Peter Pan/Bonanza,intercity,16.0,478.0,2021-04-19,4.0,2.0,16,109.0,April
19/4 - 23/4,Week 16,2021,TransBridge,commuter,12.0,365.0,2021-04-19,4.0,2.0,16,109.0,April
