date,year,month,week_of_year,sarima_forecast,rf_forecast,ensemble_forecast,date_key,month_name,quarter_name,day_of_year,is_peak_month,is_low_month
2027-09-20,2027,9,38,117819.76128978824,102700.24125,110260.00126989413,20270920,September,Q3,263,1,0
2027-09-27,2027,9,39,117252.73506558403,102923.82208333332,110088.27857445867,20270927,September,Q3,270,1,0
2027-10-04,2027,10,40,115589.86021723114,102474.12883333332,109031.99452528224,20271004,October,Q4,277,1,0
2027-10-11,2027,10,41,116474.69482882362,102707.06208333332,109590.87845607847,20271011,October,Q4,284,1,0
2027-10-18,2027,10,42,116452.67093024605,102614.51372619046,109533.59232821825,20271018,October,Q4,291,1,0
2027-10-25,2027,10,43,118395.29790587499,102598.23039285713,110496.76414936606,20271025,October,Q4,298,1,0
2027-11-01,2027,11,44,118102.19342883294,102001.377,110051.78521441646,20271101,November,Q4,305,0,1
2027-11-08,2027,11,45,118570.44304366861,101333.15699999999,109951.8000218343,20271108,November,Q4,312,0,1
2027-11-15,2027,11,46,118576.4897325905,101169.602,109873.04586629526,20271115,November,Q4,319,0,1
2027-11-22,2027,11,47,115787.26618243528,40233.887,78010.57659121764,20271122,November,Q4,326,0,1
2027-11-29,2027,11,48,105242.05294650898,34349.567,69795.8099732545,20271129,November,Q4,333,0,1
2027-12-06,2027,12,49,114135.45620824254,69346.067,91740.76160412128,20271206,December,Q4,340,0,1
2027-12-13,2027,12,50,118861.4465866886,66679.562,92770.5042933443,20271213,December,Q4,347,0,1
2027-12-20,2027,12,51,119468.01111872768,23933.722,71700.86655936384,20271220,December,Q4,354,0,1
2027-12-27,2027,12,52,116043.10391305659,12039.115,64041.1094565283,20271227,December,Q4,361,0,1
2028-01-03,2028,1,1,116091.3486302054,94460.655,105276.0018151027,20280103,January,Q1,3,0,0
2028-01-10,2028,1,2,116593.65268894119,96189.875,106391.7638444706,20280110,January,Q1,10,0,0
2028-01-17,2028,1,3,116699.06297593974,96185.835,106442.44898796987,20280117,January,Q1,17,0,0
2028-01-24,2028,1,4,116204.43182299359,95179.185,105691.8084114968,20280124,January,Q1,24,0,0
2028-01-31,2028,1,5,116490.97522858588,95683.56,106087.26761429294,20280131,January,Q1,31,0,0
2028-02-07,2028,2,6,113989.31151146405,98039.19,106014.25075573204,20280207,February,Q1,38,0,0
2028-02-14,2028,2,7,119522.02786158916,97049.84,108285.93393079458,20280214,February,Q1,45,0,0
2028-02-21,2028,2,8,121380.33749333856,97804.095,109592.21624666928,20280221,February,Q1,52,0,0
2028-02-28,2028,2,9,123771.32322919197,99124.4,111447.86161459598,20280228,February,Q1,59,0,0
2028-03-06,2028,3,10,121200.1062272036,99821.32,110510.71311360181,20280306,March,Q1,66,0,0
2028-03-13,2028,3,11,121563.83270994738,101042.5,111303.16635497368,20280313,March,Q1,73,0,0
2028-03-20,2028,3,12,122358.2681731708,101233.53,111795.8990865854,20280320,March,Q1,80,0,0
2028-03-27,2028,3,13,122578.86256961552,101068.36,111823.61128480776,20280327,March,Q1,87,0,0
2028-04-03,2028,4,14,124047.67148494441,101684.45833333331,112866.06490913886,20280403,April,Q2,94,0,0
2028-04-10,2028,4,15,120743.34357652215,101731.03333333333,111237.18845492773,20280410,April,Q2,101,0,0
2028-04-17,2028,4,16,122299.04408478375,101242.97333333333,111771.00870905854,20280417,April,Q2,108,0,0
2028-04-24,2028,4,17,90927.94922682243,102587.84333333332,96757.89628007787,20280424,April,Q2,115,0,0
2028-05-01,2028,5,18,79174.61377498796,102856.1050595238,91015.35941725588,20280501,May,Q2,122,0,0
2028-05-08,2028,5,19,121645.93028200736,102625.96622619047,112135.94825409891,20280508,May,Q2,129,0,0
2028-05-15,2028,5,20,123597.305977919,102637.14789285715,113117.22693538807,20280515,May,Q2,136,0,0
2028-05-22,2028,5,21,92115.84664033703,102665.52122619048,97390.68393326376,20280522,May,Q2,143,0,0
2028-05-29,2028,5,22,85690.40750812559,103818.51833333334,94754.46292072946,20280529,May,Q2,150,0,0
2028-06-05,2028,6,23,104804.0065144026,103456.8175,104130.4120072013,20280605,June,Q2,157,0,0
2028-06-12,2028,6,24,116406.76094596312,103196.2175,109801.48922298156,20280612,June,Q2,164,0,0
2028-06-19,2028,6,25,111575.8786091066,100415.785,105995.83180455331,20280619,June,Q2,171,0,0
2028-06-26,2028,6,26,114041.0657880422,99343.445,106692.25539402111,20280626,June,Q2,178,0,0
2028-07-03,2028,7,27,117792.93088996083,94274.18,106033.55544498042,20280703,July,Q3,185,0,0
2028-07-10,2028,7,28,117646.85161782586,101400.8675,109523.85955891293,20280710,July,Q3,192,0,0
2028-07-17,2028,7,29,119265.10615419777,104346.31875,111805.71245209889,20280717,July,Q3,199,0,0
2028-07-24,2028,7,30,118915.35345625303,104915.52875,111915.4411031265,20280724,July,Q3,206,0,0
2028-07-31,2028,7,31,118861.91438511097,102938.58864285712,110900.25151398405,20280731,July,Q3,213,0,0
2028-08-07,2028,8,32,119340.06748974956,102932.44030952381,111136.25389963668,20280807,August,Q3,220,1,0
2028-08-14,2028,8,33,119161.58209510263,102927.05530952381,111044.31870231322,20280814,August,Q3,227,1,0
2028-08-21,2028,8,34,121566.36400375352,103032.86364285713,112299.61382330532,20280821,August,Q3,234,1,0
2028-08-28,2028,8,35,120965.58574279575,102961.23864285713,111963.41219282645,20280828,August,Q3,241,1,0
2028-09-04,2028,9,36,122680.86170867794,102732.35864285713,112706.61017576754,20280904,September,Q3,248,1,0
2028-09-11,2028,9,37,116234.35935253267,102892.88949999999,109563.62442626632,20280911,September,Q3,255,1,0
2028-09-18,2028,9,38,121685.6115181788,102700.24125,112192.9263840894,20280918,September,Q3,262,1,0
2028-09-25,2028,9,39,123893.08317428053,102923.82208333332,113408.45262880693,20280925,September,Q3,269,1,0
2028-10-02,2028,10,40,121345.22518453933,102474.12883333332,111909.67700893633,20281002,October,Q4,276,1,0
2028-10-09,2028,10,41,123390.92399015333,102707.06208333332,113048.99303674333,20281009,October,Q4,283,1,0
2028-10-16,2028,10,42,124164.6275982886,102614.51372619046,113389.57066223954,20281016,October,Q4,290,1,0
2028-10-23,2028,10,43,124833.3332426404,102598.23039285713,113715.78181774876,20281023,October,Q4,297,1,0
2028-10-30,2028,10,44,127837.81875942656,102652.302,115245.06037971328,20281030,October,Q4,304,1,0
2028-11-06,2028,11,45,123865.46531334757,101333.15699999999,112599.31115667378,20281106,November,Q4,311,0,1
2028-11-13,2028,11,46,127409.82173810122,101169.602,114289.7118690506,20281113,November,Q4,318,0,1
2028-11-20,2028,11,47,124096.42418794276,40233.887,82165.15559397137,20281120,November,Q4,325,0,1
2028-11-27,2028,11,48,122394.01010377328,34349.567,78371.78855188664,20281127,November,Q4,332,0,1
2028-12-04,2028,12,49,117068.17934684404,69346.067,93207.12317342202,20281204,December,Q4,339,0,1
2028-12-11,2028,12,50,125328.69285843876,66679.562,96004.12742921938,20281211,December,Q4,346,0,1
2028-12-18,2028,12,51,125223.91702927632,23933.722,74578.81951463816,20281218,December,Q4,353,0,1
2028-12-25,2028,12,52,124254.89213528174,12039.115,68147.00356764087,20281225,December,Q4,360,0,1
2029-01-01,2029,1,1,123498.34955389312,94460.655,108979.50227694656,20290101,January,Q1,1,0,0
2029-01-08,2029,1,2,122025.5134879932,96189.875,109107.69424399661,20290108,January,Q1,8,0,0
2029-01-15,2029,1,3,122112.82416387615,96185.835,109149.32958193807,20290115,January,Q1,15,0,0
2029-01-22,2029,1,4,122343.59156369686,95179.185,108761.38828184843,20290122,January,Q1,22,0,0
2029-01-29,2029,1,5,126494.95003483514,95683.56,111089.25501741757,20290129,January,Q1,29,0,0
2029-02-05,2029,2,6,124869.69345527672,98039.19,111454.44172763836,20290205,February,Q1,36,0,0
2029-02-12,2029,2,7,129285.79016918177,97049.84,113167.81508459088,20290212,February,Q1,43,0,0
2029-02-19,2029,2,8,129616.82300641746,97804.095,113710.45900320873,20290219,February,Q1,50,0,0
2029-02-26,2029,2,9,131465.66318475993,99124.4,115295.03159237996,20290226,February,Q1,57,0,0
2029-03-05,2029,3,10,127585.38608095467,99821.32,113703.35304047735,20290305,March,Q1,64,0,0
2029-03-12,2029,3,11,130031.26258509,101042.5,115536.881292545,20290312,March,Q1,71,0,0
2029-03-19,2029,3,12,129335.9287789834,101233.53,115284.7293894917,20290319,March,Q1,78,0,0
2029-03-26,2029,3,13,129756.1874571051,101068.36,115412.27372855255,20290326,March,Q1,85,0,0
2029-04-02,2029,4,14,131409.23408080047,101684.45833333331,116546.84620706689,20290402,April,Q2,92,0,0
2029-04-09,2029,4,15,125595.65897001507,101731.03333333333,113663.3461516742,20290409,April,Q2,99,0,0
2029-04-16,2029,4,16,128697.10511797042,101242.97333333333,114970.03922565188,20290416,April,Q2,106,0,0
2029-04-23,2029,4,17,55564.87312656817,102587.84333333332,79076.35822995074,20290423,April,Q2,113,0,0
2029-04-30,2029,4,18,48911.5726914715,102857.30958333332,75884.4411374024,20290430,April,Q2,120,0,0
2029-05-07,2029,5,19,129253.87776570002,102625.96622619047,115939.92199594525,20290507,May,Q2,127,0,0
2029-05-14,2029,5,20,128047.64816732444,102637.14789285715,115342.39803009079,20290514,May,Q2,134,0,0
2029-05-21,2029,5,21,55995.9854632215,102665.52122619048,79330.753344706,20290521,May,Q2,141,0,0
2029-05-28,2029,5,22,51276.28788445531,103818.51833333334,77547.40310889433,20290528,May,Q2,148,0,0
2029-06-04,2029,6,23,117318.05457468165,103456.8175,110387.43603734083,20290604,June,Q2,155,0,0
2029-06-11,2029,6,24,121876.14046652181,103196.2175,112536.1789832609,20290611,June,Q2,162,0,0
2029-06-18,2029,6,25,117084.0450177023,100415.785,108749.91500885115,20290618,June,Q2,169,0,0
2029-06-25,2029,6,26,119580.96692321362,99343.445,109462.20596160681,20290625,June,Q2,176,0,0
2029-07-02,2029,7,27,125254.98678342043,94274.18,109764.58339171021,20290702,July,Q3,183,0,0
2029-07-09,2029,7,28,120932.26488584658,101400.8675,111166.56619292329,20290709,July,Q3,190,0,0
2029-07-16,2029,7,29,123818.14544488228,104346.31875,114082.23209744114,20290716,July,Q3,197,0,0
